Gender,Hour of Start Time,Weekday of Start Time,Count of Trips
Male,"June 29, 2019 at 11 PM",Saturday,223
Female,"June 29, 2019 at 11 PM",Saturday,77
Male,"June 29, 2019 at 10 PM",Saturday,209
Female,"June 29, 2019 at 10 PM",Saturday,111
Male,"June 29, 2019 at 9 PM",Saturday,290
Female,"June 29, 2019 at 9 PM",Saturday,101
Male,"June 29, 2019 at 8 PM",Saturday,408
Female,"June 29, 2019 at 8 PM",Saturday,178
Male,"June 29, 2019 at 7 PM",Saturday,535
Female,"June 29, 2019 at 7 PM",Saturday,283
Male,"June 29, 2019 at 6 PM",Saturday,554
Female,"June 29, 2019 at 6 PM",Saturday,300
Male,"June 29, 2019 at 5 PM",Saturday,616
Female,"June 29, 2019 at 5 PM",Saturday,326
Male,"June 29, 2019 at 4 PM",Saturday,702
Female,"June 29, 2019 at 4 PM",Saturday,387
Male,"June 29, 2019 at 3 PM",Saturday,719
Female,"June 29, 2019 at 3 PM",Saturday,376
Male,"June 29, 2019 at 2 PM",Saturday,727
Female,"June 29, 2019 at 2 PM",Saturday,400
Male,"June 29, 2019 at 1 PM",Saturday,743
Female,"June 29, 2019 at 1 PM",Saturday,452
Male,"June 29, 2019 at 12 PM",Saturday,757
Female,"June 29, 2019 at 12 PM",Saturday,455
Male,"June 29, 2019 at 11 AM",Saturday,666
Female,"June 29, 2019 at 11 AM",Saturday,418
Male,"June 29, 2019 at 10 AM",Saturday,597
Female,"June 29, 2019 at 10 AM",Saturday,355
Male,"June 29, 2019 at 9 AM",Saturday,463
Female,"June 29, 2019 at 9 AM",Saturday,302
Male,"June 29, 2019 at 8 AM",Saturday,287
Female,"June 29, 2019 at 8 AM",Saturday,168
Male,"June 29, 2019 at 7 AM",Saturday,189
Female,"June 29, 2019 at 7 AM",Saturday,100
Male,"June 29, 2019 at 6 AM",Saturday,81
Female,"June 29, 2019 at 6 AM",Saturday,47
Male,"June 29, 2019 at 5 AM",Saturday,39
Female,"June 29, 2019 at 5 AM",Saturday,27
Male,"June 29, 2019 at 4 AM",Saturday,16
Female,"June 29, 2019 at 4 AM",Saturday,2
Male,"June 29, 2019 at 3 AM",Saturday,37
Female,"June 29, 2019 at 3 AM",Saturday,2
Male,"June 29, 2019 at 2 AM",Saturday,61
Female,"June 29, 2019 at 2 AM",Saturday,8
Male,"June 29, 2019 at 1 AM",Saturday,85
Female,"June 29, 2019 at 1 AM",Saturday,27
Male,"June 29, 2019 at 12 AM",Saturday,137
Female,"June 29, 2019 at 12 AM",Saturday,25
Male,"June 22, 2019 at 11 PM",Saturday,171
Female,"June 22, 2019 at 11 PM",Saturday,75
Male,"June 22, 2019 at 10 PM",Saturday,240
Female,"June 22, 2019 at 10 PM",Saturday,81
Male,"June 22, 2019 at 9 PM",Saturday,238
Female,"June 22, 2019 at 9 PM",Saturday,119
Male,"June 22, 2019 at 8 PM",Saturday,349
Female,"June 22, 2019 at 8 PM",Saturday,149
Male,"June 22, 2019 at 7 PM",Saturday,439
Female,"June 22, 2019 at 7 PM",Saturday,202
Male,"June 22, 2019 at 6 PM",Saturday,589
Female,"June 22, 2019 at 6 PM",Saturday,280
Male,"June 22, 2019 at 5 PM",Saturday,647
Female,"June 22, 2019 at 5 PM",Saturday,354
Male,"June 22, 2019 at 4 PM",Saturday,730
Female,"June 22, 2019 at 4 PM",Saturday,414
Male,"June 22, 2019 at 3 PM",Saturday,659
Female,"June 22, 2019 at 3 PM",Saturday,360
Male,"June 22, 2019 at 2 PM",Saturday,745
Female,"June 22, 2019 at 2 PM",Saturday,389
Male,"June 22, 2019 at 1 PM",Saturday,732
Female,"June 22, 2019 at 1 PM",Saturday,415
Male,"June 22, 2019 at 12 PM",Saturday,697
Female,"June 22, 2019 at 12 PM",Saturday,413
Male,"June 22, 2019 at 11 AM",Saturday,652
Female,"June 22, 2019 at 11 AM",Saturday,374
Male,"June 22, 2019 at 10 AM",Saturday,508
Female,"June 22, 2019 at 10 AM",Saturday,331
Male,"June 22, 2019 at 9 AM",Saturday,340
Female,"June 22, 2019 at 9 AM",Saturday,221
Male,"June 22, 2019 at 8 AM",Saturday,235
Female,"June 22, 2019 at 8 AM",Saturday,165
Male,"June 22, 2019 at 7 AM",Saturday,107
Female,"June 22, 2019 at 7 AM",Saturday,80
Male,"June 22, 2019 at 6 AM",Saturday,71
Female,"June 22, 2019 at 6 AM",Saturday,43
Male,"June 22, 2019 at 5 AM",Saturday,40
Female,"June 22, 2019 at 5 AM",Saturday,16
Male,"June 22, 2019 at 4 AM",Saturday,27
Female,"June 22, 2019 at 4 AM",Saturday,2
Male,"June 22, 2019 at 3 AM",Saturday,39
Female,"June 22, 2019 at 3 AM",Saturday,3
Male,"June 22, 2019 at 2 AM",Saturday,55
Female,"June 22, 2019 at 2 AM",Saturday,5
Male,"June 22, 2019 at 1 AM",Saturday,94
Female,"June 22, 2019 at 1 AM",Saturday,22
Male,"June 22, 2019 at 12 AM",Saturday,115
Female,"June 22, 2019 at 12 AM",Saturday,39
Male,"June 15, 2019 at 11 PM",Saturday,126
Female,"June 15, 2019 at 11 PM",Saturday,28
Male,"June 15, 2019 at 10 PM",Saturday,120
Female,"June 15, 2019 at 10 PM",Saturday,33
Male,"June 15, 2019 at 9 PM",Saturday,129
Female,"June 15, 2019 at 9 PM",Saturday,38
Male,"June 15, 2019 at 8 PM",Saturday,144
Female,"June 15, 2019 at 8 PM",Saturday,61
Male,"June 15, 2019 at 7 PM",Saturday,196
Female,"June 15, 2019 at 7 PM",Saturday,63
Male,"June 15, 2019 at 6 PM",Saturday,209
Female,"June 15, 2019 at 6 PM",Saturday,73
Male,"June 15, 2019 at 5 PM",Saturday,142
Female,"June 15, 2019 at 5 PM",Saturday,46
Male,"June 15, 2019 at 4 PM",Saturday,83
Female,"June 15, 2019 at 4 PM",Saturday,29
Male,"June 15, 2019 at 3 PM",Saturday,152
Female,"June 15, 2019 at 3 PM",Saturday,53
Male,"June 15, 2019 at 2 PM",Saturday,324
Female,"June 15, 2019 at 2 PM",Saturday,147
Male,"June 15, 2019 at 1 PM",Saturday,339
Female,"June 15, 2019 at 1 PM",Saturday,142
Male,"June 15, 2019 at 12 PM",Saturday,328
Female,"June 15, 2019 at 12 PM",Saturday,158
Male,"June 15, 2019 at 11 AM",Saturday,344
Female,"June 15, 2019 at 11 AM",Saturday,199
Male,"June 15, 2019 at 10 AM",Saturday,392
Female,"June 15, 2019 at 10 AM",Saturday,214
Male,"June 15, 2019 at 9 AM",Saturday,308
Female,"June 15, 2019 at 9 AM",Saturday,176
Male,"June 15, 2019 at 8 AM",Saturday,241
Female,"June 15, 2019 at 8 AM",Saturday,147
Male,"June 15, 2019 at 7 AM",Saturday,116
Female,"June 15, 2019 at 7 AM",Saturday,74
Male,"June 15, 2019 at 6 AM",Saturday,71
Female,"June 15, 2019 at 6 AM",Saturday,38
Male,"June 15, 2019 at 5 AM",Saturday,40
Female,"June 15, 2019 at 5 AM",Saturday,15
Male,"June 15, 2019 at 4 AM",Saturday,14
Female,"June 15, 2019 at 4 AM",Saturday,2
Male,"June 15, 2019 at 3 AM",Saturday,21
Female,"June 15, 2019 at 3 AM",Saturday,9
Male,"June 15, 2019 at 2 AM",Saturday,53
Female,"June 15, 2019 at 2 AM",Saturday,7
Male,"June 15, 2019 at 1 AM",Saturday,51
Female,"June 15, 2019 at 1 AM",Saturday,14
Male,"June 15, 2019 at 12 AM",Saturday,80
Female,"June 15, 2019 at 12 AM",Saturday,19
Male,"June 8, 2019 at 11 PM",Saturday,178
Female,"June 8, 2019 at 11 PM",Saturday,46
Male,"June 8, 2019 at 10 PM",Saturday,210
Female,"June 8, 2019 at 10 PM",Saturday,97
Male,"June 8, 2019 at 9 PM",Saturday,248
Female,"June 8, 2019 at 9 PM",Saturday,109
Male,"June 8, 2019 at 8 PM",Saturday,290
Female,"June 8, 2019 at 8 PM",Saturday,127
Male,"June 8, 2019 at 7 PM",Saturday,448
Female,"June 8, 2019 at 7 PM",Saturday,187
Male,"June 8, 2019 at 6 PM",Saturday,536
Female,"June 8, 2019 at 6 PM",Saturday,246
Male,"June 8, 2019 at 5 PM",Saturday,607
Female,"June 8, 2019 at 5 PM",Saturday,294
Male,"June 8, 2019 at 4 PM",Saturday,622
Female,"June 8, 2019 at 4 PM",Saturday,315
Male,"June 8, 2019 at 3 PM",Saturday,718
Female,"June 8, 2019 at 3 PM",Saturday,391
Male,"June 8, 2019 at 2 PM",Saturday,661
Female,"June 8, 2019 at 2 PM",Saturday,365
Male,"June 8, 2019 at 1 PM",Saturday,678
Female,"June 8, 2019 at 1 PM",Saturday,401
Male,"June 8, 2019 at 12 PM",Saturday,700
Female,"June 8, 2019 at 12 PM",Saturday,407
Male,"June 8, 2019 at 11 AM",Saturday,702
Female,"June 8, 2019 at 11 AM",Saturday,430
Male,"June 8, 2019 at 10 AM",Saturday,568
Female,"June 8, 2019 at 10 AM",Saturday,387
Male,"June 8, 2019 at 9 AM",Saturday,444
Female,"June 8, 2019 at 9 AM",Saturday,256
Male,"June 8, 2019 at 8 AM",Saturday,317
Female,"June 8, 2019 at 8 AM",Saturday,177
Male,"June 8, 2019 at 7 AM",Saturday,142
Female,"June 8, 2019 at 7 AM",Saturday,107
Male,"June 8, 2019 at 6 AM",Saturday,76
Female,"June 8, 2019 at 6 AM",Saturday,52
Male,"June 8, 2019 at 5 AM",Saturday,28
Female,"June 8, 2019 at 5 AM",Saturday,14
Male,"June 8, 2019 at 4 AM",Saturday,21
Female,"June 8, 2019 at 4 AM",Saturday,4
Male,"June 8, 2019 at 3 AM",Saturday,33
Female,"June 8, 2019 at 3 AM",Saturday,10
Male,"June 8, 2019 at 2 AM",Saturday,40
Female,"June 8, 2019 at 2 AM",Saturday,13
Male,"June 8, 2019 at 1 AM",Saturday,65
Female,"June 8, 2019 at 1 AM",Saturday,10
Male,"June 8, 2019 at 12 AM",Saturday,100
Female,"June 8, 2019 at 12 AM",Saturday,21
Male,"June 1, 2019 at 11 PM",Saturday,116
Female,"June 1, 2019 at 11 PM",Saturday,23
Male,"June 1, 2019 at 10 PM",Saturday,116
Female,"June 1, 2019 at 10 PM",Saturday,33
Male,"June 1, 2019 at 9 PM",Saturday,133
Female,"June 1, 2019 at 9 PM",Saturday,40
Male,"June 1, 2019 at 8 PM",Saturday,185
Female,"June 1, 2019 at 8 PM",Saturday,75
Male,"June 1, 2019 at 7 PM",Saturday,134
Female,"June 1, 2019 at 7 PM",Saturday,42
Male,"June 1, 2019 at 6 PM",Saturday,231
Female,"June 1, 2019 at 6 PM",Saturday,82
Male,"June 1, 2019 at 5 PM",Saturday,263
Female,"June 1, 2019 at 5 PM",Saturday,130
Male,"June 1, 2019 at 4 PM",Saturday,384
Female,"June 1, 2019 at 4 PM",Saturday,140
Male,"June 1, 2019 at 3 PM",Saturday,398
Female,"June 1, 2019 at 3 PM",Saturday,223
Male,"June 1, 2019 at 2 PM",Saturday,524
Female,"June 1, 2019 at 2 PM",Saturday,258
Male,"June 1, 2019 at 1 PM",Saturday,643
Female,"June 1, 2019 at 1 PM",Saturday,298
Male,"June 1, 2019 at 12 PM",Saturday,610
Female,"June 1, 2019 at 12 PM",Saturday,286
Male,"June 1, 2019 at 11 AM",Saturday,544
Female,"June 1, 2019 at 11 AM",Saturday,319
Male,"June 1, 2019 at 10 AM",Saturday,490
Female,"June 1, 2019 at 10 AM",Saturday,254
Male,"June 1, 2019 at 9 AM",Saturday,341
Female,"June 1, 2019 at 9 AM",Saturday,185
Male,"June 1, 2019 at 8 AM",Saturday,231
Female,"June 1, 2019 at 8 AM",Saturday,128
Male,"June 1, 2019 at 7 AM",Saturday,164
Female,"June 1, 2019 at 7 AM",Saturday,74
Male,"June 1, 2019 at 6 AM",Saturday,67
Female,"June 1, 2019 at 6 AM",Saturday,33
Male,"June 1, 2019 at 5 AM",Saturday,39
Female,"June 1, 2019 at 5 AM",Saturday,8
Male,"June 1, 2019 at 4 AM",Saturday,20
Female,"June 1, 2019 at 4 AM",Saturday,4
Male,"June 1, 2019 at 3 AM",Saturday,32
Female,"June 1, 2019 at 3 AM",Saturday,1
Male,"June 1, 2019 at 2 AM",Saturday,55
Female,"June 1, 2019 at 2 AM",Saturday,9
Male,"June 1, 2019 at 1 AM",Saturday,78
Female,"June 1, 2019 at 1 AM",Saturday,15
Male,"June 1, 2019 at 12 AM",Saturday,146
Female,"June 1, 2019 at 12 AM",Saturday,27
Male,"May 25, 2019 at 11 PM",Saturday,158
Female,"May 25, 2019 at 11 PM",Saturday,56
Male,"May 25, 2019 at 10 PM",Saturday,178
Female,"May 25, 2019 at 10 PM",Saturday,53
Male,"May 25, 2019 at 9 PM",Saturday,208
Female,"May 25, 2019 at 9 PM",Saturday,116
Male,"May 25, 2019 at 8 PM",Saturday,298
Female,"May 25, 2019 at 8 PM",Saturday,138
Male,"May 25, 2019 at 7 PM",Saturday,384
Female,"May 25, 2019 at 7 PM",Saturday,204
Male,"May 25, 2019 at 6 PM",Saturday,464
Female,"May 25, 2019 at 6 PM",Saturday,237
Male,"May 25, 2019 at 5 PM",Saturday,537
Female,"May 25, 2019 at 5 PM",Saturday,265
Male,"May 25, 2019 at 4 PM",Saturday,577
Female,"May 25, 2019 at 4 PM",Saturday,292
Male,"May 25, 2019 at 3 PM",Saturday,517
Female,"May 25, 2019 at 3 PM",Saturday,339
Male,"May 25, 2019 at 2 PM",Saturday,551
Female,"May 25, 2019 at 2 PM",Saturday,338
Male,"May 25, 2019 at 1 PM",Saturday,577
Female,"May 25, 2019 at 1 PM",Saturday,299
Male,"May 25, 2019 at 12 PM",Saturday,558
Female,"May 25, 2019 at 12 PM",Saturday,311
